Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,Manufacturing,95865.44,86920.16,91000.21,89648.98,88362.74,89424.69,83997.2,84656.35,84354.88,87122.29
France,Manufacturing,15422.8,13275.44,15223.08,13479.05,11946.49,11423.11,11386.81,10998.37,11961.76,12235.92
Croatia,Manufacturing,344.28,330.77,289.69,249.64,166.42,152.45,140.58,137.01,138.18,139.06
Italy,Manufacturing,73674.95,68710.16,72363.57,75230.11,73918.49,74029.77,73602.49,73178.34,74987,74234.63
Cyprus,Manufacturing,1161.95,1104.34,1165.03,1228.33,1103.26,1093.7,1115.6,1208.14,1207.56,1202.73
Latvia,Manufacturing,5173.42,4108.05,5062.85,4916.98,5716.01,5986.86,6221.31,6323.29,6847.38,7239.56
Lithuania,Manufacturing,393.9,218.61,276.44,253.1,270.23,294.27,309.14,325.12,314.98,314.75
Luxembourg,Manufacturing,101.14,81.22,92.87,85.02,79.99,79.97,86.34,78.9,79.16,79.31
Hungary,Manufacturing,2799.03,2525.25,2628.71,2603.77,2222.14,2329.67,2372.07,2693.96,2450.69,2765.21
Malta,Manufacturing,6,4.59,4.41,4.14,3.97,3.78,3.73,3.72,3.6,3.41
Netherlands,Manufacturing,20893.36,19956.9,21463.06,20870.27,21282.72,19744.93,20103.5,19799.43,21027.93,21345.71
Austria,Manufacturing,3083.53,3006.07,3030.85,3086.31,3092.52,3267.11,3091.77,3123.25,3110.81,3002.83
Poland,Manufacturing,6384.59,6024.28,6463.53,7038.04,6626.24,7033.71,7148.51,7335.81,6677.12,7277.4
Portugal,Manufacturing,53283.7,47915,56216,63633.3,61236.5,61384.6,61006.9,63957.5,62429.8,63334.77
Romania,Manufacturing,49023.24,44588.87,42884.12,42283.4,39881.54,40723.29,39939.72,39639.79,37767.04,36455.01
Slovenia,Manufacturing,410.08,418.62,379.87,166.9,151.74,166.93,203.96,197.97,194.48,203.41
Slovakia,Manufacturing,20309.32,19161.7,18724.48,19179.45,17445.18,18033.65,17250.86,17245.94,17341.49,14453.87
Finland,Manufacturing,972.27,875.35,901.58,930.77,899.09,920.12,902.9,851.65,920.39,881.39
Sweden,Manufacturing,2112.64,1933.43,2066.98,2041.77,2042.59,1946.95,1955.29,1987.15,1959.2,1983.42
United Kingdom,Manufacturing,8690.14,9249.51,9783.25,9489.9,9693.85,10165.21,10181.21,8772.22,9007.24,9420.92
Iceland,Manufacturing,241.6,232.35,320.84,279.64,264.23,297.17,300.08,319.76,292.02,-1
Norway,Manufacturing,16526.47,16745.71,16504.09,17065.87,16087.65,15877.39,15055.01,15217.81,13208.29,-1
Switzerland,Manufacturing,658.07,580.17,604.3,594.62,559.45,620.45,608.7,494.43,527.16,-1
Serbia,Manufacturing,-1,-1,23687.61,22508.11,19848.53,16481.73,20596.43,-1,-1,-1
Turkey,Manufacturing,24507,24427.23,25116.69,26146.97,26640.06,24092.42,26307.05,16445.69,23706.41,-1
EU28,"Electricity, gas, steam and air conditioning supply",1029549.95,988387.06,1022348.58,1005323.47,918720.93,904082.03,878343.99,853755.92,850649.72,832518.13
Belgium,"Electricity, gas, steam and air conditioning supply",22704.58,22834.98,25010.29,23250.91,22215.11,21952.37,21650.13,22050.91,21425.34,21425.32
Bulgaria,"Electricity, gas, steam and air conditioning supply",52844.39,44213.77,47216,55583.2,1093.96,1019.54,1014.83,1157.15,1716.37,1656.18
Czechia,"Electricity, gas, steam and air conditioning supply",30392.46,32441.36,34142.36,32045.95,25891.11,24090.33,24011.7,23607.45,23760.15,23756.42
Denmark,"Electricity, gas, steam and air conditioning supply",13297.26,12249.05,14558.3,12527.37,9791.75,9042.55,8446.44,8588.27,11232.35,10591.82
Germany,"Electricity, gas, steam and air conditioning supply",123584.01,123670.06,136430.07,135121.23,143893.57,153036.03,152294.82,160361.09,169716.26,171448.38
